attendance_id,member_id,check_in,check_out
94,9,2024-02-10 08:00:00,2024-02-10 09:00:00
95,10,2024-02-04 09:00:00,2024-02-04 10:00:00
96,10,2024-02-07 06:00:00,2024-02-07 08:00:00
97,10,2024-01-27 09:00:00,2024-01-27 11:00:00
98,10,2024-01-03 06:00:00,2024-01-03 08:00:00
99,10,2024-01-11 09:00:00,2024-01-11 10:00:00
100,10,2024-01-26 09:00:00,2024-01-26 11:00:00
101,10,2024-01-30 07:00:00,2024-01-30 09:00:00
102,10,2024-02-17 07:00:00,2024-02-17 09:00:00
103,10,2024-01-24 09:00:00,2024-01-24 10:00:00
104,11,2024-01-31 08:00:00,2024-01-31 10:00:00
105,11,2024-01-05 08:00:00,2024-01-05 10:00:00
106,11,2024-02-24 08:00:00,2024-02-24 10:00:00
107,11,2024-01-08 06:00:00,2024-01-08 07:00:00
108,11,2024-01-20 08:00:00,2024-01-20 09:00:00
109,11,2024-02-21 09:00:00,2024-02-21 10:00:00
110,11,2024-02-17 07:00:00,2024-02-17 09:00:00
111,11,2024-02-21 07:00:00,2024-02-21 09:00:00
112,11,2024-02-16 08:00:00,2024-02-16 10:00:00
113,11,2024-02-28 08:00:00,2024-02-28 10:00:00
114,12,2024-01-27 09:00:00,2024-01-27 10:00:00
115,12,2024-02-01 09:00:00,2024-02-01 11:00:00
116,12,2024-01-12 09:00:00,2024-01-12 11:00:00
117,12,2024-02-10 09:00:00,2024-02-10 10:00:00
118,12,2024-01-30 09:00:00,2024-01-30 11:00:00
119,12,2024-02-07 09:00:00,2024-02-07 11:00:00
120,12,2024-01-26 06:00:00,2024-01-26 08:00:00
121,12,2024-02-14 07:00:00,2024-02-14 09:00:00
122,12,2024-01-03 09:00:00,2024-01-03 10:00:00
123,12,2024-02-11 08:00:00,2024-02-11 10:00:00
124,12,2024-01-03 08:00:00,2024-01-03 09:00:00
125,13,2024-03-01 07:00:00,2024-03-01 09:00:00
126,13,2024-01-15 06:00:00,2024-01-15 08:00:00
127,13,2024-01-26 07:00:00,2024-01-26 08:00:00
128,13,2024-02-18 08:00:00,2024-02-18 09:00:00
129,13,2024-02-25 07:00:00,2024-02-25 09:00:00
130,13,2024-02-11 09:00:00,2024-02-11 10:00:00
131,13,2024-02-27 07:00:00,2024-02-27 08:00:00
132,13,2024-02-07 07:00:00,2024-02-07 08:00:00
133,13,2024-01-21 07:00:00,2024-01-21 08:00:00
134,13,2024-01-09 06:00:00,2024-01-09 07:00:00
135,13,2024-01-01 06:00:00,2024-01-01 07:00:00
136,13,2024-01-06 07:00:00,2024-01-06 08:00:00
137,14,2024-02-24 09:00:00,2024-02-24 10:00:00
138,14,2024-01-14 08:00:00,2024-01-14 10:00:00
139,14,2024-01-30 09:00:00,2024-01-30 10:00:00
140,14,2024-01-28 07:00:00,2024-01-28 08:00:00
141,14,2024-02-10 08:00:00,2024-02-10 09:00:00
142,14,2024-01-28 07:00:00,2024-01-28 08:00:00
143,15,2024-03-01 07:00:00,2024-03-01 09:00:00
144,15,2024-02-26 06:00:00,2024-02-26 07:00:00
145,15,2024-02-05 09:00:00,2024-02-05 10:00:00
146,15,2024-01-08 08:00:00,2024-01-08 09:00:00
147,15,2024-01-25 08:00:00,2024-01-25 10:00:00
148,15,2024-02-14 06:00:00,2024-02-14 08:00:00
149,15,2024-01-04 06:00:00,2024-01-04 08:00:00
150,15,2024-02-28 08:00:00,2024-02-28 10:00:00
151,15,2024-02-16 08:00:00,2024-02-16 10:00:00
152,16,2024-01-20 09:00:00,2024-01-20 10:00:00
153,16,2024-02-14 07:00:00,2024-02-14 09:00:00
154,16,2024-01-15 06:00:00,2024-01-15 07:00:00
155,16,2024-02-21 06:00:00,2024-02-21 08:00:00
156,16,2024-03-01 09:00:00,2024-03-01 11:00:00
157,16,2024-01-07 06:00:00,2024-01-07 07:00:00
158,16,2024-02-17 07:00:00,2024-02-17 08:00:00
159,16,2024-01-31 08:00:00,2024-01-31 09:00:00
160,16,2024-01-31 06:00:00,2024-01-31 08:00:00
161,16,2024-02-15 06:00:00,2024-02-15 08:00:00
162,17,2024-01-12 09:00:00,2024-01-12 11:00:00
163,17,2024-01-16 07:00:00,2024-01-16 09:00:00
164,17,2024-01-19 08:00:00,2024-01-19 09:00:00
165,17,2024-01-09 09:00:00,2024-01-09 11:00:00
166,17,2024-02-21 07:00:00,2024-02-21 09:00:00
167,17,2024-02-28 09:00:00,2024-02-28 11:00:00
168,17,2024-02-09 06:00:00,2024-02-09 08:00:00
169,17,2024-01-19 07:00:00,2024-01-19 09:00:00
170,17,2024-02-20 09:00:00,2024-02-20 11:00:00
171,17,2024-01-06 09:00:00,2024-01-06 10:00:00
172,18,2024-02-03 06:00:00,2024-02-03 07:00:00
173,18,2024-01-08 06:00:00,2024-01-08 07:00:00
174,18,2024-01-08 08:00:00,2024-01-08 09:00:00
175,18,2024-02-03 06:00:00,2024-02-03 07:00:00
176,18,2024-02-14 06:00:00,2024-02-14 08:00:00
177,18,2024-02-13 07:00:00,2024-02-13 09:00:00
178,18,2024-02-09 09:00:00,2024-02-09 11:00:00
179,18,2024-02-24 07:00:00,2024-02-24 08:00:00
180,19,2024-01-10 07:00:00,2024-01-10 09:00:00
181,19,2024-02-03 07:00:00,2024-02-03 09:00:00
182,19,2024-01-25 08:00:00,2024-01-25 09:00:00
183,19,2024-01-21 06:00:00,2024-01-21 07:00:00
184,19,2024-01-12 07:00:00,2024-01-12 08:00:00
185,19,2024-01-05 09:00:00,2024-01-05 11:00:00
186,19,2024-01-30 08:00:00,2024-01-30 09:00:00
187,19,2024-01-01 09:00:00,2024-01-01 11:00:00
188,19,2024-02-06 08:00:00,2024-02-06 10:00:00
189,19,2024-01-07 06:00:00,2024-01-07 07:00:00
190,19,2024-01-26 07:00:00,2024-01-26 09:00:00
191,20,2024-01-06 09:00:00,2024-01-06 10:00:00
192,20,2024-02-19 08:00:00,2024-02-19 09:00:00
193,20,2024-03-01 07:00:00,2024-03-01 08:00:00
194,20,2024-01-14 07:00:00,2024-01-14 08:00:00
195,20,2024-01-11 07:00:00,2024-01-11 09:00:00
196,20,2024-01-31 07:00:00,2024-01-31 08:00:00
197,20,2024-01-18 09:00:00,2024-01-18 11:00:00
198,20,2024-02-28 09:00:00,2024-02-28 10:00:00
199,20,2024-02-19 08:00:00,2024-02-19 10:00:00
200,20,2024-02-25 06:00:00,2024-02-25 07:00:00
201,20,2024-01-13 07:00:00,2024-01-13 09:00:00
202,20,2024-01-26 07:00:00,2024-01-26 09:00:00
203,21,2024-01-09 09:00:00,2024-01-09 10:00:00
204,21,2024-01-27 06:00:00,2024-01-27 07:00:00
205,21,2024-02-12 06:00:00,2024-02-12 08:00:00
206,21,2024-02-14 09:00:00,2024-02-14 11:00:00
207,21,2024-02-11 09:00:00,2024-02-11 10:00:00
208,21,2024-02-25 06:00:00,2024-02-25 07:00:00
209,21,2024-02-03 08:00:00,2024-02-03 09:00:00
210,21,2024-03-01 08:00:00,2024-03-01 10:00:00
211,21,2024-01-15 07:00:00,2024-01-15 08:00:00
212,22,2024-02-01 09:00:00,2024-02-01 11:00:00
213,22,2024-01-26 09:00:00,2024-01-26 10:00:00
214,22,2024-02-22 08:00:00,2024-02-22 09:00:00
215,22,2024-01-12 08:00:00,2024-01-12 09:00:00
216,22,2024-02-11 08:00:00,2024-02-11 10:00:00
217,23,2024-01-05 09:00:00,2024-01-05 10:00:00
218,23,2024-01-18 08:00:00,2024-01-18 09:00:00
219,23,2024-02-25 09:00:00,2024-02-25 10:00:00
220,23,2024-01-08 08:00:00,2024-01-08 09:00:00
221,23,2024-02-22 07:00:00,2024-02-22 09:00:00
222,23,2024-01-01 09:00:00,2024-01-01 10:00:00
223,23,2024-01-18 08:00:00,2024-01-18 09:00:00
224,23,2024-01-18 06:00:00,2024-01-18 08:00:00
225,23,2024-01-31 06:00:00,2024-01-31 07:00:00
226,23,2024-02-21 09:00:00,2024-02-21 10:00:00
227,24,2024-02-23 06:00:00,2024-02-23 08:00:00
228,24,2024-02-11 08:00:00,2024-02-11 10:00:00
229,24,2024-01-06 07:00:00,2024-01-06 08:00:00
230,24,2024-01-28 09:00:00,2024-01-28 11:00:00
231,24,2024-01-04 09:00:00,2024-01-04 11:00:00
232,24,2024-01-26 08:00:00,2024-01-26 10:00:00
233,25,2024-01-04 07:00:00,2024-01-04 09:00:00
234,25,2024-01-09 08:00:00,2024-01-09 09:00:00
235,25,2024-02-04 07:00:00,2024-02-04 08:00:00
236,25,2024-03-01 06:00:00,2024-03-01 07:00:00
237,25,2024-01-15 06:00:00,2024-01-15 07:00:00
238,25,2024-02-08 08:00:00,2024-02-08 09:00:00
239,25,2024-02-24 06:00:00,2024-02-24 08:00:00
240,25,2024-02-02 09:00:00,2024-02-02 10:00:00
241,25,2024-01-26 07:00:00,2024-01-26 09:00:00
242,25,2024-02-11 06:00:00,2024-02-11 07:00:00
243,25,2024-02-09 07:00:00,2024-02-09 09:00:00
244,25,2024-01-29 08:00:00,2024-01-29 09:00:00
245,25,2024-02-03 09:00:00,2024-02-03 11:00:00
246,26,2024-02-28 06:00:00,2024-02-28 08:00:00
247,26,2024-02-14 08:00:00,2024-02-14 09:00:00
248,26,2024-02-23 08:00:00,2024-02-23 09:00:00
249,26,2024-01-27 07:00:00,2024-01-27 08:00:00
250,26,2024-02-09 07:00:00,2024-02-09 09:00:00
251,26,2024-01-29 09:00:00,2024-01-29 11:00:00
252,26,2024-02-02 09:00:00,2024-02-02 11:00:00
253,26,2024-01-03 06:00:00,2024-01-03 08:00:00
254,26,2024-02-01 06:00:00,2024-02-01 07:00:00
255,26,2024-02-21 07:00:00,2024-02-21 09:00:00
256,26,2024-02-05 06:00:00,2024-02-05 08:00:00
257,26,2024-01-03 06:00:00,2024-01-03 07:00:00
258,26,2024-02-10 07:00:00,2024-02-10 09:00:00
259,26,2024-01-06 07:00:00,2024-01-06 09:00:00
260,27,2024-01-07 09:00:00,2024-01-07 10:00:00
261,27,2024-02-13 07:00:00,2024-02-13 08:00:00
262,27,2024-01-18 08:00:00,2024-01-18 10:00:00
263,27,2024-01-11 07:00:00,2024-01-11 09:00:00
264,27,2024-01-23 08:00:00,2024-01-23 09:00:00
265,27,2024-01-14 09:00:00,2024-01-14 10:00:00
266,27,2024-01-20 06:00:00,2024-01-20 07:00:00
267,27,2024-01-13 06:00:00,2024-01-13 08:00:00
268,27,2024-02-20 07:00:00,2024-02-20 09:00:00
269,27,2024-02-29 06:00:00,2024-02-29 08:00:00
270,28,2024-02-28 08:00:00,2024-02-28 09:00:00
271,28,2024-02-20 07:00:00,2024-02-20 08:00:00
272,28,2024-01-21 07:00:00,2024-01-21 09:00:00
273,28,2024-02-25 08:00:00,2024-02-25 10:00:00
274,28,2024-01-12 06:00:00,2024-01-12 07:00:00
275,28,2024-02-19 08:00:00,2024-02-19 10:00:00
276,28,2024-02-10 09:00:00,2024-02-10 11:00:00
277,28,2024-01-04 09:00:00,2024-01-04 11:00:00
278,28,2024-01-28 06:00:00,2024-01-28 08:00:00
279,28,2024-02-08 08:00:00,2024-02-08 10:00:00
280,28,2024-02-16 08:00:00,2024-02-16 09:00:00
281,28,2024-02-09 09:00:00,2024-02-09 11:00:00
282,28,2024-01-21 07:00:00,2024-01-21 09:00:00
283,28,2024-02-25 09:00:00,2024-02-25 11:00:00
284,29,2024-02-12 09:00:00,2024-02-12 10:00:00
285,29,2024-01-30 07:00:00,2024-01-30 08:00:00
286,29,2024-02-21 06:00:00,2024-02-21 07:00:00
287,29,2024-02-04 07:00:00,2024-02-04 08:00:00
288,29,2024-02-27 06:00:00,2024-02-27 08:00:00
289,30,2024-02-27 08:00:00,2024-02-27 09:00:00
290,30,2024-01-06 06:00:00,2024-01-06 08:00:00
291,30,2024-02-18 06:00:00,2024-02-18 08:00:00
292,30,2024-01-31 06:00:00,2024-01-31 08:00:00
293,30,2024-02-04 06:00:00,2024-02-04 08:00:00
294,30,2024-01-15 06:00:00,2024-01-15 07:00:00
295,30,2024-02-23 07:00:00,2024-02-23 09:00:00
296,30,2024-01-23 08:00:00,2024-01-23 10:00:00
297,30,2024-01-04 08:00:00,2024-01-04 10:00:00
298,30,2024-02-23 09:00:00,2024-02-23 10:00:00
299,30,2024-01-27 06:00:00,2024-01-27 08:00:00
300,31,2024-01-16 09:00:00,2024-01-16 10:00:00
301,31,2024-01-01 06:00:00,2024-01-01 08:00:00
302,31,2024-02-01 06:00:00,2024-02-01 08:00:00
303,31,2024-02-08 08:00:00,2024-02-08 10:00:00
304,31,2024-01-14 09:00:00,2024-01-14 10:00:00
305,31,2024-01-03 08:00:00,2024-01-03 10:00:00
306,31,2024-01-28 09:00:00,2024-01-28 11:00:00
307,31,2024-01-29 06:00:00,2024-01-29 08:00:00
308,31,2024-01-13 08:00:00,2024-01-13 09:00:00
309,31,2024-02-05 08:00:00,2024-02-05 09:00:00
310,31,2024-01-18 08:00:00,2024-01-18 10:00:00
311,31,2024-01-15 06:00:00,2024-01-15 08:00:00
312,31,2024-02-09 09:00:00,2024-02-09 10:00:00
313,31,2024-01-07 06:00:00,2024-01-07 08:00:00
314,32,2024-02-23 09:00:00,2024-02-23 11:00:00
315,32,2024-02-02 06:00:00,2024-02-02 08:00:00
316,32,2024-01-01 06:00:00,2024-01-01 07:00:00
317,32,2024-01-11 06:00:00,2024-01-11 08:00:00
318,32,2024-02-08 07:00:00,2024-02-08 08:00:00
319,33,2024-02-11 06:00:00,2024-02-11 08:00:00
320,33,2024-01-07 07:00:00,2024-01-07 09:00:00
321,33,2024-02-10 07:00:00,2024-02-10 08:00:00
322,33,2024-02-22 06:00:00,2024-02-22 07:00:00
323,33,2024-01-09 08:00:00,2024-01-09 10:00:00
324,33,2024-02-05 09:00:00,2024-02-05 10:00:00
325,33,2024-02-04 06:00:00,2024-02-04 07:00:00
326,33,2024-02-28 06:00:00,2024-02-28 07:00:00
327,33,2024-01-07 07:00:00,2024-01-07 09:00:00
328,33,2024-02-17 06:00:00,2024-02-17 08:00:00
329,33,2024-02-02 09:00:00,2024-02-02 11:00:00
330,33,2024-01-21 06:00:00,2024-01-21 08:00:00
331,33,2024-01-19 07:00:00,2024-01-19 09:00:00
332,33,2024-01-28 09:00:00,2024-01-28 10:00:00
333,34,2024-01-19 08:00:00,2024-01-19 10:00:00
334,34,2024-02-24 08:00:00,2024-02-24 09:00:00
335,34,2024-02-08 06:00:00,2024-02-08 07:00:00
336,34,2024-02-03 07:00:00,2024-02-03 08:00:00
337,34,2024-02-04 08:00:00,2024-02-04 09:00:00
338,34,2024-02-22 09:00:00,2024-02-22 10:00:00
339,34,2024-02-22 09:00:00,2024-02-22 11:00:00
340,34,2024-02-28 06:00:00,2024-02-28 07:00:00
341,34,2024-02-18 09:00:00,2024-02-18 11:00:00
342,34,2024-01-01 07:00:00,2024-01-01 09:00:00
343,34,2024-01-10 07:00:00,2024-01-10 08:00:00
344,35,2024-02-21 09:00:00,2024-02-21 10:00:00
345,35,2024-01-26 07:00:00,2024-01-26 08:00:00
346,35,2024-01-14 09:00:00,2024-01-14 10:00:00
347,35,2024-02-27 07:00:00,2024-02-27 08:00:00
348,35,2024-01-27 08:00:00,2024-01-27 10:00:00
349,35,2024-02-25 09:00:00,2024-02-25 10:00:00
350,35,2024-01-27 07:00:00,2024-01-27 09:00:00
351,35,2024-02-11 08:00:00,2024-02-11 09:00:00
352,35,2024-01-28 07:00:00,2024-01-28 08:00:00
353,35,2024-01-23 08:00:00,2024-01-23 09:00:00
354,35,2024-02-09 08:00:00,2024-02-09 10:00:00
355,35,2024-01-03 07:00:00,2024-01-03 09:00:00
356,35,2024-02-22 06:00:00,2024-02-22 08:00:00
357,35,2024-01-13 07:00:00,2024-01-13 09:00:00
358,35,2024-02-08 07:00:00,2024-02-08 09:00:00
359,36,2024-02-16 08:00:00,2024-02-16 09:00:00
360,36,2024-01-24 09:00:00,2024-01-24 11:00:00
361,36,2024-01-17 06:00:00,2024-01-17 07:00:00
362,36,2024-02-07 09:00:00,2024-02-07 10:00:00
363,36,2024-02-02 06:00:00,2024-02-02 07:00:00
364,36,2024-02-25 07:00:00,2024-02-25 08:00:00
365,36,2024-01-31 07:00:00,2024-01-31 08:00:00
366,36,2024-01-23 06:00:00,2024-01-23 07:00:00
367,36,2024-01-28 07:00:00,2024-01-28 08:00:00
368,36,2024-01-28 07:00:00,2024-01-28 08:00:00
369,36,2024-01-11 08:00:00,2024-01-11 09:00:00
370,36,2024-02-09 06:00:00,2024-02-09 08:00:00
371,36,2024-02-17 08:00:00,2024-02-17 10:00:00
372,36,2024-01-27 08:00:00,2024-01-27 10:00:00
373,37,2024-02-26 07:00:00,2024-02-26 08:00:00
374,37,2024-02-17 06:00:00,2024-02-17 07:00:00
375,37,2024-01-25 09:00:00,2024-01-25 10:00:00
376,37,2024-01-04 07:00:00,2024-01-04 09:00:00
377,37,2024-01-13 07:00:00,2024-01-13 08:00:00
378,37,2024-02-19 07:00:00,2024-02-19 08:00:00
379,37,2024-01-06 06:00:00,2024-01-06 07:00:00
380,37,2024-02-20 09:00:00,2024-02-20 11:00:00
381,38,2024-02-27 06:00:00,2024-02-27 07:00:00
382,38,2024-01-17 07:00:00,2024-01-17 08:00:00
383,38,2024-01-09 06:00:00,2024-01-09 08:00:00
384,38,2024-01-11 06:00:00,2024-01-11 08:00:00
385,38,2024-02-27 09:00:00,2024-02-27 10:00:00
386,38,2024-02-29 08:00:00,2024-02-29 09:00:00
387,38,2024-02-29 08:00:00,2024-02-29 09:00:00
388,38,2024-01-05 07:00:00,2024-01-05 09:00:00
389,38,2024-02-11 07:00:00,2024-02-11 08:00:00
390,38,2024-01-09 08:00:00,2024-01-09 10:00:00
391,38,2024-02-27 09:00:00,2024-02-27 11:00:00
392,38,2024-02-22 08:00:00,2024-02-22 10:00:00
393,39,2024-01-26 08:00:00,2024-01-26 09:00:00
394,39,2024-02-19 07:00:00,2024-02-19 08:00:00
395,39,2024-02-20 08:00:00,2024-02-20 09:00:00
396,39,2024-01-01 07:00:00,2024-01-01 09:00:00
397,39,2024-01-23 07:00:00,2024-01-23 08:00:00
398,39,2024-02-01 07:00:00,2024-02-01 09:00:00
399,39,2024-02-28 09:00:00,2024-02-28 10:00:00
400,39,2024-01-08 08:00:00,2024-01-08 10:00:00
401,39,2024-02-15 06:00:00,2024-02-15 08:00:00
402,39,2024-02-15 09:00:00,2024-02-15 11:00:00
403,39,2024-01-27 09:00:00,2024-01-27 10:00:00
404,39,2024-01-05 06:00:00,2024-01-05 08:00:00
405,39,2024-01-31 06:00:00,2024-01-31 07:00:00
406,39,2024-01-02 09:00:00,2024-01-02 10:00:00
407,39,2024-02-10 08:00:00,2024-02-10 09:00:00
408,40,2024-02-08 09:00:00,2024-02-08 11:00:00
409,40,2024-01-05 07:00:00,2024-01-05 08:00:00
410,40,2024-01-07 07:00:00,2024-01-07 09:00:00
411,40,2024-01-29 09:00:00,2024-01-29 10:00:00
412,40,2024-02-23 06:00:00,2024-02-23 07:00:00
413,40,2024-01-22 06:00:00,2024-01-22 08:00:00
414,41,2024-02-08 09:00:00,2024-02-08 11:00:00
415,41,2024-03-01 07:00:00,2024-03-01 08:00:00
416,41,2024-02-24 09:00:00,2024-02-24 11:00:00
417,41,2024-01-20 06:00:00,2024-01-20 07:00:00
418,41,2024-02-28 09:00:00,2024-02-28 11:00:00
419,41,2024-01-07 08:00:00,2024-01-07 09:00:00
420,41,2024-02-27 08:00:00,2024-02-27 10:00:00
421,41,2024-01-22 06:00:00,2024-01-22 07:00:00
422,41,2024-02-01 08:00:00,2024-02-01 09:00:00
423,41,2024-01-18 06:00:00,2024-01-18 07:00:00
424,41,2024-02-15 08:00:00,2024-02-15 10:00:00
425,41,2024-01-14 07:00:00,2024-01-14 09:00:00
426,42,2024-02-07 09:00:00,2024-02-07 10:00:00
427,42,2024-01-26 07:00:00,2024-01-26 09:00:00
428,42,2024-02-11 07:00:00,2024-02-11 08:00:00
429,42,2024-02-29 09:00:00,2024-02-29 11:00:00
430,42,2024-03-01 09:00:00,2024-03-01 11:00:00
431,42,2024-02-14 06:00:00,2024-02-14 07:00:00
432,42,2024-01-15 09:00:00,2024-01-15 10:00:00
433,42,2024-02-01 06:00:00,2024-02-01 07:00:00
434,42,2024-01-23 07:00:00,2024-01-23 09:00:00
435,42,2024-01-05 07:00:00,2024-01-05 08:00:00
436,43,2024-01-29 07:00:00,2024-01-29 08:00:00
437,43,2024-01-25 09:00:00,2024-01-25 10:00:00
438,43,2024-01-25 06:00:00,2024-01-25 08:00:00
439,43,2024-02-23 07:00:00,2024-02-23 08:00:00
440,43,2024-01-09 06:00:00,2024-01-09 08:00:00
441,43,2024-01-31 09:00:00,2024-01-31 10:00:00
442,43,2024-02-12 06:00:00,2024-02-12 08:00:00
443,43,2024-01-05 08:00:00,2024-01-05 10:00:00
444,43,2024-02-05 09:00:00,2024-02-05 11:00:00
445,43,2024-01-25 09:00:00,2024-01-25 11:00:00
446,43,2024-01-12 07:00:00,2024-01-12 09:00:00
447,43,2024-01-05 08:00:00,2024-01-05 10:00:00
448,43,2024-01-26 08:00:00,2024-01-26 09:00:00
449,44,2024-01-05 06:00:00,2024-01-05 07:00:00
450,44,2024-01-25 08:00:00,2024-01-25 09:00:00
451,44,2024-02-15 09:00:00,2024-02-15 10:00:00
452,44,2024-02-07 06:00:00,2024-02-07 07:00:00
453,44,2024-01-26 08:00:00,2024-01-26 09:00:00
454,44,2024-01-13 06:00:00,2024-01-13 08:00:00
455,44,2024-02-17 08:00:00,2024-02-17 09:00:00
456,44,2024-01-02 07:00:00,2024-01-02 08:00:00
457,44,2024-02-27 09:00:00,2024-02-27 11:00:00
458,45,2024-01-28 07:00:00,2024-01-28 09:00:00
459,45,2024-02-12 08:00:00,2024-02-12 10:00:00
460,45,2024-01-29 07:00:00,2024-01-29 09:00:00
461,45,2024-02-12 07:00:00,2024-02-12 09:00:00
462,45,2024-01-20 09:00:00,2024-01-20 11:00:00
463,45,2024-01-06 09:00:00,2024-01-06 11:00:00
464,45,2024-02-15 08:00:00,2024-02-15 10:00:00
465,45,2024-02-18 07:00:00,2024-02-18 09:00:00
